prompt,draft_model,variable,value
34,125,tar,0.134615385
35,125,latency,8.115041733
35,125,tar,0.325
36,125,latency,10.52756739
36,125,tar,0.192307692
37,125,latency,8.086793184
37,125,tar,0.275
38,125,latency,8.819508076
38,125,tar,0.227272727
39,125,latency,8.129661798
39,125,tar,0.25
40,125,latency,11.20503759
40,125,tar,0.107142857
41,125,latency,8.881657362
41,125,tar,0.204545455
42,125,latency,7.293095827
42,125,tar,0.305555556
43,125,latency,13.62564087
43,125,tar,0.044117647
44,125,latency,8.848519802
44,125,tar,0.204545455
45,125,latency,9.577232838
45,125,tar,0.208333333
46,125,latency,5.581993818
46,125,tar,0.5
47,125,latency,8.916923761
47,125,tar,0.204545455
48,125,latency,8.875000477
48,125,tar,0.204545455
49,125,latency,7.211150885
49,125,tar,0.333333333
50,125,latency,7.212695837
50,125,tar,0.333333333
51,125,latency,8.011568785
51,125,tar,0.25
52,125,latency,8.055834532
52,125,tar,0.325
53,125,latency,6.41680479
53,125,tar,0.375
54,125,latency,10.51508451
54,125,tar,0.134615385
55,125,latency,11.96171737
55,125,tar,0.083333333
56,125,latency,8.080282211
56,125,tar,0.275
57,125,latency,7.292663813
57,125,tar,0.416666667
58,125,latency,7.182117462
58,125,tar,0.305555556
59,125,latency,9.623185158
59,125,tar,0.229166667
60,125,latency,10.52211475
60,125,tar,0.134615385
61,125,latency,6.5130198
61,125,tar,0.375
62,125,latency,9.646484375
62,125,tar,0.166666667
63,125,latency,7.309829473
63,125,tar,0.305555556
64,125,latency,13.7297914
64,125,tar,0.044117647
65,125,latency,8.075027466
65,125,tar,0.25
66,125,latency,9.70640111
66,125,tar,0.166666667
67,125,latency,9.642428637
67,125,tar,0.166666667
68,125,latency,5.379976988
68,125,tar,0.607142857
69,125,latency,7.164422989
69,125,tar,0.333333333
70,125,latency,5.630222321
70,125,tar,0.5
72,125,latency,7.245052338
72,125,tar,0.333333333
73,125,latency,8.057901382
73,125,tar,0.25
74,125,latency,9.593360662
74,125,tar,0.166666667
75,125,latency,6.449905157
75,125,tar,0.40625
76,125,latency,6.468444586
76,125,tar,0.46875
77,125,latency,10.73757172
77,125,tar,0.134615385
78,125,latency,9.602046251
78,125,tar,0.1875
79,125,latency,7.954514265
79,125,tar,0.325
80,125,latency,7.276763916
80,125,tar,0.305555556
81,125,latency,11.98722672
81,125,tar,0.083333333
82,125,latency,9.654908657
82,125,tar,0.166666667
83,125,latency,8.036488295
83,125,tar,0.275
84,125,latency,9.744635344
84,125,tar,0.1875
85,125,latency,7.264257431
85,125,tar,0.333333333
86,125,latency,6.769280672
86,125,tar,0.305555556
87,125,latency,8.066640139
87,125,tar,0.3
88,125,latency,6.402885914
88,125,tar,0.375
89,125,latency,12.65519714
89,125,tar,0.0625
90,125,latency,7.364866734
90,125,tar,0.361111111
91,125,latency,6.781646013
91,125,tar,0.333333333
92,125,latency,8.90614295
92,125,tar,0.25
93,125,latency,11.99251819
93,125,tar,0.116666667
94,125,latency,13.56516457
94,125,tar,0.044117647
95,125,latency,9.575440407
95,125,tar,0.1875
96,125,latency,8.869571447
96,125,tar,0.227272727
97,125,latency,11.43549538
97,125,tar,0.116666667
98,125,latency,10.69281554
98,125,tar,0.134615385
99,125,latency,7.830699682
99,125,tar,0.25
0,13000,latency,10.87167358
0,13000,tar,0.625
1,13000,latency,9.06507659
1,13000,tar,0.75
2,13000,latency,10.74370122
2,13000,tar,0.708333333
3,13000,latency,12.73539972
3,13000,tar,0.464285714
4,13000,latency,12.90003252
4,13000,tar,0.5
5,13000,latency,12.95349169
5,13000,tar,0.571428571
6,13000,latency,7.428967476
6,13000,tar,1
7,13000,latency,14.57138276
7,13000,tar,0.375
8,13000,latency,14.73231697
8,13000,tar,0.40625
9,13000,latency,12.34088731
9,13000,tar,0.571428571
10,13000,latency,14.58301044
10,13000,tar,0.40625
11,13000,latency,14.40685844
11,13000,tar,0.4375
12,13000,latency,16.52450037
12,13000,tar,0.416666667
13,13000,latency,12.88891339
13,13000,tar,0.607142857
14,13000,latency,14.74890542
14,13000,tar,0.375
15,13000,latency,12.85855746
15,13000,tar,0.5
16,13000,latency,14.76472187
16,13000,tar,0.40625
17,13000,latency,12.64128375
17,13000,tar,0.464285714
18,13000,latency,23.55088258
18,13000,tar,0.192307692
19,13000,latency,10.28003931
19,13000,tar,0.75
20,13000,latency,9.055875063
20,13000,tar,0.8
21,13000,latency,9.08449769
21,13000,tar,0.9
22,13000,latency,11.11885047
22,13000,tar,0.625
23,13000,latency,12.77626252
23,13000,tar,0.5
24,13000,latency,9.20787859
24,13000,tar,0.8
25,13000,latency,11.09337592
25,13000,tar,0.583333333
26,13000,latency,10.81417966
26,13000,tar,0.708333333
27,13000,latency,9.102017641
27,13000,tar,0.8
28,13000,latency,20.42564201
28,13000,tar,0.272727273
29,13000,latency,10.86671042
29,13000,tar,0.75
30,13000,latency,12.93361855
30,13000,tar,0.535714286
31,13000,latency,11.20601821
31,13000,tar,0.708333333
32,13000,latency,18.59295464
32,13000,tar,0.275
33,13000,latency,16.87102246
